                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.0158,                 2.0001,                 1.8122,                 1.1158,                0.92571,                0.79327,                0.90401,                0.65049,                0.92225,                0.78584,                0.89685,                0.58405,                0.86731,                  1.418,                0.68619,                0.98998,               0.070349,              0.0032946,              0.0032946
                      1,                0.87217,                 1.4561,                0.69439,                0.96979,                0.89986,                0.86107,                0.92563,                0.65022,                0.88687,                 0.8761,                0.91617,                0.60902,                0.89232,                 1.4141,                  0.556,                 1.0024,               0.040283,              0.0065623,              0.0065623
                      2,                0.90097,                 1.4691,                0.68407,                0.98097,                0.89244,                0.87383,                0.94562,                0.65224,                0.89093,                0.87206,                0.91748,                0.59637,                0.93974,                 1.5249,                 1.0091,                 1.0171,               0.010152,               0.009764,               0.009764
                      3,                0.92853,                 1.4964,                0.62738,                0.98566,                 0.9273,                 0.8765,                0.94585,                0.65245,                0.92787,                0.85895,                0.91843,                0.59921,                0.93261,                 1.4697,                0.72088,                 1.0063,               0.009703,               0.009703,               0.009703
                      4,                0.91055,                 1.4667,                0.60119,                0.98071,                0.89979,                0.91496,                0.93307,                0.66009,                0.89743,                 0.9048,                 0.9342,                0.61724,                0.91355,                 1.4431,                0.62391,                 1.0273,               0.009703,               0.009703,               0.009703
                      5,                0.93312,                 1.4613,                0.59841,                0.99875,                0.88518,                0.89613,                0.93138,                0.62239,                0.87624,                0.88792,                 0.9161,                0.56793,                0.96348,                 1.5238,                 0.6441,                 1.0377,               0.009604,               0.009604,               0.009604
                      6,                0.90293,                 1.4045,                0.57356,                0.98871,                0.90316,                0.91243,                0.93755,                0.65437,                0.89669,                0.86984,                0.91194,                0.59382,                 0.9102,                 1.5167,                0.52534,                 1.0149,               0.009505,               0.009505,               0.009505
                      7,                0.87635,                 1.4048,                0.54662,                0.97179,                0.86835,                0.91023,                 0.9355,                0.65624,                0.92349,                0.85626,                0.92676,                0.61823,                0.91051,                  1.407,                0.52321,                 1.0162,               0.009406,               0.009406,               0.009406
                      8,                 0.8882,                 1.4178,                0.53674,                0.98031,                0.90756,                0.91724,                0.94362,                0.66479,                 0.8983,                0.88191,                0.92734,                0.62817,                0.90829,                  1.399,                0.53778,                 1.0101,               0.009307,               0.009307,               0.009307
                      9,                0.88811,                 1.3864,                 0.5296,                0.98073,                0.88263,                0.90184,                0.93055,                0.66113,                 0.8831,                0.87019,                0.91981,                0.62259,                0.88984,                 1.3795,                0.55466,                 1.0078,               0.009208,               0.009208,               0.009208
                     10,                0.87479,                 1.3499,                0.51927,                0.97754,                0.89314,                0.91378,                0.93677,                0.66332,                0.92717,                0.86986,                0.92984,                0.60464,                0.89876,                   1.37,                0.51554,                 1.0068,               0.009109,               0.009109,               0.009109
                     11,                0.86729,                 1.3566,                0.50311,                0.97591,                0.90408,                0.90045,                0.94314,                0.66929,                0.88344,                0.88716,                0.91755,                0.61107,                0.89004,                 1.3746,                0.47698,                 1.0077,                0.00901,                0.00901,                0.00901
                     12,                0.85985,                 1.3514,                0.49882,                0.97245,                0.88653,                 0.9083,                0.92899,                0.66577,                0.88362,                0.89922,                0.92905,                0.63172,                0.88835,                 1.3461,                0.51341,                 1.0033,               0.008911,               0.008911,               0.008911
                     13,                0.85643,                 1.3403,                0.48252,                0.96789,                0.92917,                0.90269,                0.94716,                0.68549,                 0.9268,                0.89557,                0.94219,                0.63482,                0.86367,                 1.3894,                0.47911,                0.99089,               0.008812,               0.008812,               0.008812
                     14,                0.83912,                 1.3233,                0.48125,                0.96024,                0.92862,                0.91454,                0.94974,                0.68542,                0.94243,                0.86909,                0.94378,                0.64238,                0.85288,                  1.346,                0.46597,                0.98707,               0.008713,               0.008713,               0.008713
                     15,                0.84083,                 1.3429,                0.47378,                0.95537,                0.94427,                0.90809,                0.95277,                0.66988,                0.92007,                0.89082,                0.93563,                0.61722,                0.87588,                 1.3086,                0.47319,                0.99867,               0.008614,               0.008614,               0.008614
                     16,                0.85235,                 1.3575,                0.48274,                0.96685,                0.92004,                0.92153,                0.95033,                0.66593,                0.92583,                0.87986,                0.93251,                0.62473,                0.93079,                 1.4118,                0.48889,                 1.0334,               0.008515,               0.008515,               0.008515
                     17,                0.83815,                 1.2993,                0.46884,                0.95929,                0.92326,                0.92827,                0.95333,                0.68234,                0.90091,                0.90802,                0.93411,                0.63244,                0.88868,                 1.3196,                0.46319,                 1.0156,               0.008416,               0.008416,               0.008416
                     18,                0.82155,                 1.2837,                0.46102,                0.95359,                0.92331,                0.91134,                0.95803,                0.68504,                0.91511,                0.88952,                0.94258,                0.63892,                0.90026,                 1.3739,                0.47834,                 1.0241,               0.008317,               0.008317,               0.008317
                     19,                0.82845,                 1.2903,                0.45818,                0.95338,                0.95397,                0.86014,                0.94849,                0.68038,                  0.956,                0.85374,                0.94348,                0.64129,                0.87411,                 1.3349,                0.45478,                0.99538,               0.008218,               0.008218,               0.008218
                     20,                0.82348,                 1.2828,                0.44779,                0.95019,                0.92508,                0.90496,                0.94364,                0.66398,                0.90016,                0.87851,                0.92427,                0.61633,                0.90024,                 1.3678,                0.48268,                 1.0056,               0.008119,               0.008119,               0.008119
                     21,                0.80534,                 1.2635,                0.43834,                0.94739,                0.93872,                0.92298,                0.95359,                0.69079,                0.92333,                 0.9018,                0.94046,                 0.6357,                0.88201,                 1.3443,                0.44282,                 1.0022,                0.00802,                0.00802,                0.00802
                     22,                0.80541,                 1.2486,                0.43682,                0.94242,                  0.915,                0.93851,                0.95342,                0.69261,                0.93279,                 0.8838,                0.94153,                0.63922,                0.87629,                 1.3267,                0.45024,                0.99771,               0.007921,               0.007921,               0.007921
                     23,                 0.8031,                 1.2564,                0.43394,                0.94364,                0.94695,                0.90465,                0.94894,                0.69652,                0.92463,                0.88352,                0.93908,                0.64995,                0.85893,                 1.2805,                0.46681,                0.99127,               0.007822,               0.007822,               0.007822
                     24,                 0.7933,                 1.2416,                0.43201,                0.93666,                0.91121,                0.93584,                0.95166,                0.68682,                0.90562,                0.91142,                0.94613,                0.65113,                 0.8838,                 1.3396,                0.46184,                 1.0018,               0.007723,               0.007723,               0.007723
